,薪酬,地区,详细地址,链接,工作,公司,来源
0,0.8-1.5万/月  ,深圳          ,龙华新区观澜街道观光路1301号    ,http://jobs.51job.com/shenzhen/98122785.html?s=01&t=0,深圳合纵能源技术有限公司,Python开发工程师,_51job
1,0.8-1.2万/月  ,深圳          ,南山区沙河西路白沙科技产业园1楼B区  ,http://jobs.51job.com/shenzhen/76152312.html?s=01&t=0,深圳市巴伦技术股份有限公司,Python开发工程师,_51job
2,0.8-1万/月    ,深圳          ,                    ,http://jobs.51job.com/shenzhen/90719739.html?s=01&t=0,文思海辉技术有限公司Pactera Tec...,python开发,_51job
3,2-3万/月      ,深圳          ,深圳市福田区彩田路东侧橄榄大厦2407 ,http://jobs.51job.com/shenzhen/95974795.html?s=01&t=0,北京国双科技有限公司,资深Python工程师（深圳）,_51job
4,1-2万/月      ,深圳          ,深圳福田区深南大道6033号金运世纪大厦18A,http://jobs.51job.com/shenzhen/96924262.html?s=01&t=0,深圳市尚锐科技有限公司,python 工程师-大数据方向,_51job
5,0.6-1.5万/月  ,深圳          ,坂田街道岗头新围仔付五和大道4006号(近华为基地）,http://jobs.51job.com/shenzhen/94286655.html?s=01&t=0,华强方特文化科技集团股份有限公司,Python开发工程师,_51job
6,0.8-1.6万/月  ,深圳          ,深圳市南山区科技路1号桑达科技大厦   ,http://jobs.51job.com/shenzhen/91587182.html?s=01&t=0,深圳市有限元科技有限公司,Python软件开发工程师,_51job
7,4-5千/月      ,深圳          ,广东省深圳市龙岗区坂田华为基地五和大道北中控大厦,http://jobs.51job.com/shenzhen/91481865.html?s=01&t=0,中控智慧科技股份有限公司,RD-java/Python发工程师,_51job
8,1.7-2万/月    ,深圳          ,深圳市南山区深南大道市高新技术工业村W2栋A区3层A-1,http://jobs.51job.com/shenzhen/93483933.html?s=01&t=0,深圳房讯通信息技术有限公司,Python开发工程师,_51job
9,1-1.5万/月    ,深圳          ,全深圳                 ,http://jobs.51job.com/shenzhen/91164220.html?s=01&t=0,成都迈思信息技术有限公司,Python开发工程师,_51job
10,1.2-2万/月    ,深圳          ,南山迅美科技广场            ,http://jobs.51job.com/shenzhen/98235112.html?s=01&t=0,上海炽聚网络科技有限公司,Python开发工程师,_51job
11,0.8-1.5万/月  ,深圳          ,宝安区宝城67区隆昌路8号飞扬科技园A栋4楼,http://jobs.51job.com/shenzhen/95633168.html?s=01&t=0,深圳市四十大道电子商务有限公司,Python工程师,_51job
12,1.5-3万/月    ,深圳-南山区      ,威新软件园               ,http://jobs.51job.com/shenzhen-nsq/96875285.html?s=01&t=0,深圳市藤讯科技有限公司,Python高级开发工程师,_51job
13,0.9-1.5万/月  ,深圳-南山区      ,深圳市南山区高新区科苑南路中地数码大厦7层A区,http://jobs.51job.com/shenzhen-nsq/94352603.html?s=01&t=0,深圳市优博讯科技股份有限公司,Python工程师,_51job
14,0.9-1.6万/月  ,深圳-南山区      ,南山区高新中四道31号研祥科技大厦7B1-B8,http://jobs.51job.com/shenzhen-nsq/95557634.html?s=01&t=0,深圳市正易龙科技有限公司,PYTHON开发工程师,_51job
15,1-1.5万/月    ,深圳-南山区      ,深圳市南山区联合总部大厦        ,http://jobs.51job.com/shenzhen-nsq/96113855.html?s=01&t=0,富士康科技集团New PCEBG事业群,Python应用开发工程师,_51job
16,            ,深圳-南山区      ,飞亚达大厦               ,http://jobs.51job.com/shenzhen-nsq/97678269.html?s=01&t=0,甲骨文（中国）软件系统有限公司,"高级软件工程师(C#, Python, Windows)",_51job
17,0.9-1.5万/月  ,深圳-南山区      ,深圳市南山区软件产业基地        ,http://jobs.51job.com/shenzhen-nsq/88224043.html?s=01&t=0,广州碧软信息科技有限公司,Python,_51job
18,7-9千/月      ,深圳-南山区      ,南山区中山园路1001号TCL国际E城C11-G,http://jobs.51job.com/shenzhen-nsq/97396435.html?s=01&t=0,深圳市览众科技股份有限公司,Python开发工程师,_51job
19,1.5-3万/月    ,深圳-南山区      ,科苑大道讯美科技广场2号楼20层    ,http://jobs.51job.com/shenzhen-nsq/90001501.html?s=01&t=0,深圳市乐易网络股份有限公司,python开发工程师,_51job
20,1.5-2万/月    ,深圳-南山区      ,学苑大道1001号南山智园A1栋    ,http://jobs.51job.com/shenzhen-nsq/97551737.html?s=01&t=0,深信服科技股份有限公司,Python软件开发工程师,_51job
21,1.3-2.5万/月  ,深圳-南山区      ,科兴科学园A2-702         ,http://jobs.51job.com/shenzhen-nsq/88210309.html?s=01&t=0,深圳市前海汇流信息科技有限公司,Python研发工程师,_51job
22,0.8-1万/月    ,深圳-南山区      ,深圳市南山区商华路2号阳光科创中心B座17层整层,http://jobs.51job.com/shenzhen-nsq/97575171.html?s=01&t=0,深圳市瑞云科技有限公司,Python高级研发工程师,_51job
23,1-2万/月      ,深圳-南山区      ,科兴科学园A2栋605         ,http://jobs.51job.com/shenzhen-nsq/97212780.html?s=01&t=0,深圳开黑科技有限公司,Python研发工程师,_51job
24,1-1.5万/月    ,深圳-南山区      ,前海自贸区               ,http://jobs.51job.com/shenzhen-nsq/98209614.html?s=01&t=0,大连亿达信息技术有限公司深圳分公司,Python开发工程师,_51job
25,1.5-3万/月    ,深圳-南山区      ,深圳市南山区数字文化产业基地      ,http://jobs.51job.com/shenzhen-nsq/97161534.html?s=01&t=0,图麟信息科技（上海）有限公司,Python Web开发工程师,_51job
26,1.5-2万/月    ,深圳-南山区      ,科苑北讯美科技大厦1号楼306     ,http://jobs.51job.com/shenzhen-nsq/91840182.html?s=01&t=0,深圳市比一比网络科技有限公司,Python 爬虫工程师,_51job
